url,ticket,nat,home,job
/titanic-survivor/virginia-clark.html,13508,American,"Los Angeles, California, United States",
/titanic-victim/walter-miller-clark.html,13508,American,"Los Angeles, California, United States",
/titanic-survivor/alice-cleaver.html,113781,English,"35 Camden Park RoadKentish Town, London, England",Nursemaid       to Master Hudson Trevor Allison
/titanic-victim/george-quincy-clifford.html,110465,American,"Stoughton, Massachusetts, United States",
/titanic-victim/edward-pomeroy-colley.html,5727,Irish,"Dublin, Ireland",Civil Engineer
/titanic-victim/alexander-taylor-compton.html,17756,American,"Lakewood, New Jersey, United States",
/titanic-survivor/mary-eliza-compton.html,17756,American,"Lakewood, New Jersey, United States",
/titanic-survivor/sara-rebecca-compton.html,17756,American,"Lakewood, New Jersey, United States",
/titanic-survivor/malvina-helen-cornell.html,11770,American,"New York City, New York, United States",
/titanic-victim/john-bertram-crafton.html,113791,American,"Roachdale, Indiana, United States",Businessman
/titanic-victim/edward-gifford-crosby.html,5735,American,"474 Marshall Street Milwaukee, Wisconsin, United States",
/titanic-survivor/harriette-rebecca-crosby.html,112901,American,"Paris, France",
/titanic-survivor/catherine-elizabeth-crosby.html,5735,American,"474 Marshall Street Milwaukee, Wisconsin, United States",
/titanic-victim/john-bradley-cumings.html,17599,American,"New York City, New York, United States",
/titanic-survivor/florence-briggs-cumings.html,17599,American,"50 East 64th Street New York City, New York, United States",
/titanic-survivor/peter-dennis-daly.html,113055,English,,Businessman
/titanic-survivor/robert-williams-daniel.html,113804,American,"Montréal, Québéc, Canada",
/titanic-survivor/sarah-daniels.html,113781,English,"Montréal, Québéc, Canada",Personal Maid       to Mrs Bess Waldo Allison
/titanic-survivor/orian-davidson.html,12750,Canadian,"Calgary, Alberta, Canada",
/titanic-victim/thornton-davidson.html,12750,Canadian,"Montréal, Québéc, Canada",
/titanic-survivor/vera-dick.html,17474,Canadian,"Milwaukee, Wisconsin, United States",
/titanic-survivor/albert-adrian-dick.html,17474,Canadian,"Calgary, Alberta, Canada",
/titanic-survivor/ruth-dodge.html,33638,American,"San Francisco, California, United States",
/titanic-survivor/washington-dodge-jr.html,33638,American,"San Francisco, California, United States",
/titanic-survivor/washington-dodge.html,33638,American,"San Francisco, California, United States",Politician
/titanic-victim/walter-donald-douglas.html,17761,American,"Minneapolis, Minnesota, United States",
/titanic-survivor/mahala-douglas.html,17761,American,"Minneapolis, Minnesota, United States",
/titanic-survivor/mary-helene-douglas.html,17558,Canadian,"Montréal, Québéc, Canada",
/titanic-survivor/sir-cosmo-duff-gordon.html,11755,English,"London, England",Landowner
/titanic-survivor/lady-duff-gordon.html,17485,"English
 Canadian","London, England",Dressmaker / Couturiere
/titanic-victim/william-crothers-dulles.html,17580,American,"Philadelphia, Pennsylvania, United States",
/titanic-survivor/olive-earnshaw.html,11767,American,"Philadelphia, Pennsylvania, United States",Of Independent Means
/titanic-survivor/caroline-endres.html,17757,American,,Nurse       to Mrs Madeleine Talmage Astor
/titanic-survivor/elizabeth-mussey-eustis.html,36947,American,"Brookline, Massachusetts, United States",
/titanic-victim/edith-corse-evans.html,17531,American,"New York City, New York, United States",
/titanic-victim/john-farthing.html,17483,English,,Servant       to Mr Isidor Straus
/titanic-survivor/antoinette-flegenheim.html,17598,"German
 American","New York City, New York, United States",
/titanic-survivor/margaret-fleming.html,17421,American,,Personal Maid       to Mrs Marian Longstreth Thayer
/titanic-survivor/john-irwin-flynn.html,PC 14474,"Canadian
American","Brooklyn, New York, United States",
/titanic-victim/benjamin-foreman.html,113051,American,"New York City, New York, United States",
/titanic-survivor/mabel-helen-fortune.html,19950,Canadian,"Winnipeg, Manitoba, Canada",
/titanic-survivor/ethel-flora-fortune.html,19950,Canadian,"Winnipeg, Manitoba, Canada",
/titanic-victim/mark-fortune.html,19950,Canadian,"Winnipeg, Manitoba, Canada",
/titanic-victim/charles-alexander-fortune.html,19950,Canadian,"Winnipeg, Manitoba, Canada",
/titanic-survivor/alice-elizabeth-fortune.html,19950,Canadian,"Winnipeg, Manitoba, Canada",
/titanic-survivor/mary-fortune.html,19950,Canadian,"Winnipeg, Manitoba, Canada",
/titanic-survivor/laura-mabel-francatelli.html,17485,English,"London, England",Secretary
/titanic-victim/thomas-parnham-franklin.html,113778,English,"London, England",
/titanic-survivor/henry-william-frauenthal.html,17611,American,"New York City, New York, United States",Doctor
/titanic-survivor/isaac-gerald-frauenthal.html,17765,American,"New York City, New York, United States",
/titanic-survivor/clara-frauenthal.html,17611,American,"New York City, New York, United States",
/titanic-survivor/hedwig-margaritha-frolicher.html,13568,Swiss,"Zurich, Switzerland",
/titanic-survivor/maximilian-frolicher-stehli.html,13567,Swiss,"Zurich, Switzerland",
/titanic-survivor/margaretha-frolicher-stehli.html,13567,Swiss,"Zurich, Switzerland",
/titanic-victim/richard-fry.html,112058,English,"Liverpool, Merseyside, England",Personal Valet       to Mr Joseph Bruce Ismay
/titanic-victim/jacques-futrelle.html,113803,American,"London, England",Writer
/titanic-survivor/lily-may-futrelle.html,113803,American,"London, England",
/titanic-victim/arthur-gee.html,111320,English,"Morningside, Riley AvenueLytham St. Anne, Lancashire, England",
/titanic-survivor/dorothy-gibson.html,112378,American,"New York City, New York, United States",
/titanic-survivor/pauline-gibson.html,112378,American,"New York City, New York, United States",
/titanic-survivor/emily-gieger.html,113503,German,,Personal Maid       to Mrs Eleanor Widener
/titanic-victim/victor-giglio.html,17593,"English
 Italian",,Servant       to Mr Benjamin Guggenheim
/titanic-survivor/samuel-goldenberg.html,17453,American,"New York City, New York, United States",
/titanic-survivor/nella-goldenberg.html,17453,"Italian
 American","New York City, New York, United States",
/titanic-victim/george-goldschmidt.html,17754,American,"New York City, New York, United States",Lawyer
/titanic-survivor/colonel-archibald-gracie.html,113780,American,"Washington DC, United States",Writer
/titanic-victim/george-edward-graham.html,112053,Canadian,"Winnipeg, Manitoba, Canada",Sales Manager
/titanic-survivor/margaret-edith-graham.html,17582,American,"Greenwich, Connecticut, United States",
/titanic-survivor/edith-graham.html,17582,American,"Greenwich, London, England",
/titanic-survivor/william-bertram-greenfield.html,17759,American,"New York City, New York, United States",
/titanic-survivor/blanche-greenfield.html,17759,American,"New York City, New York, United States",
/titanic-victim/benjamin-guggenheim.html,17593,American,"Paris, France",Businessman
/titanic-survivor/george-achilles-harder.html,11765,American,"New York City, New York, United States",Businessman
/titanic-survivor/dorothy-harder.html,11765,American,"New York City, New York, United States",
/titanic-survivor/henry-sleeper-harper.html,17572,American,"New York City, New York, United States",Of Independent Means
/titanic-survivor/myra-harper.html,17572,American,"New York City, New York, United States",
/titanic-victim/charles-harrington.html,113796,English,,Servant       to Mr Clarence Moore
/titanic-survivor/irene-harris.html,36973,American,"New York City, New York, United States",
/titanic-victim/henry-birkhardt-harris.html,36973,American,"New York City, New York, United States",Theatre Manager
/titanic-victim/william-harrison.html,112059,English,"Wallasey, Cheshire, England",Secretary       to Mr Joseph Bruce Ismay
/titanic-survivor/hammad-hassab.html,17572,Egyptian,"Cairo, Egypt",Servant       to Mrs Myra Raymond Harper
/titanic-survivor/walter-james-hawksford.html,16988,English,,Sales Manager
/titanic-survivor/margaret-bechstein-hays.html,11767,American,"New York City, New York, United States",
/titanic-victim/charles-melville-hays.html,12749,American,"Montréal, Québéc, Canada",Businessman
/titanic-survivor/clara-jennings-hays.html,12749,American,"Montréal, Québéc, Canada",
/titanic-victim/christopher-head.html,113038,English,,Politician
/titanic-victim/herbert-henry-hilliard.html,17463,English,"Hichborn Street Brighton, Massachusetts, United States",Buyer
/titanic-victim/william-edward-hipkins.html,680,English,"Birmingham, England",Manufacturer
/titanic-survivor/ida-hippach.html,111361,American,"Chicago, Illinois, United States",
/titanic-survivor/jean-gertrude-hippach.html,111361,American,"Chicago, Illinois, United States",
/titanic-survivor/anna-hogeboom.html,13502,American,"Hudson, New York, United States",Of Independent Means
/titanic-victim/alexander-oskar-holverson.html,113789,American,"New York City, New York, United States",
/titanic-survivor/mary-alice-holverson.html,113789,American,"New York City, New York, United States",
/titanic-survivor/harry-homer.html,111426,American,"Indianapolis, Indiana, United States",Gambler
/titanic-survivor/jane-anne-hoyt.html,19943,American,"New York City, New York, United States",
/titanic-victim/william-fisher-hoyt.html,17600,American,"New York City, New York, United States",Businessman
/titanic-survivor/frederick-maxfield-hoyt.html,19943,American,"New York City, New York, United States",
/titanic-survivor/amelia-icard.html,113572,French,,Personal Maid       to Mrs Martha Evelyn Stone
/titanic-victim/ann-elizabeth-isham.html,17595,American,"Chicago, Illinois, United States",
/titanic-survivor/j-bruce-ismay.html,112058,English,"Liverpool, Merseyside, England",Shipowner
/titanic-victim/charles-cresson-jones.html,694,American,"Bennington, Vermont, United States",Estate Manager
