ville,lien,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aboncourt-sur-Seille (57590),/management/ville/aboncourt-sur-seille/ville-57002,7.4,7.6,8.1,7.2,6.5,8.1,8.4,8.2,8.9,9.6,9.2,9.7,9.3
Abondance (74360),/management/ville/abondance/ville-74001,6.7,6.7,6.7,5.9,5.6,7.5,7.8,7.2,7.9,8.4,8.2,8.5,8.0
Abondant (28410),/management/ville/abondant/ville-28001,10.5,10.3,10.5,10.0,8.6,11.0,11.5,11.3,11.8,12.5,12.3,12.5,12.1
Abos (64360),/management/ville/abos/ville-64005,7.5,7.3,7.3,6.7,6.1,7.5,7.6,7.4,7.8,8.3,8.3,8.6,8.1
Abreschviller (57560),/management/ville/abreschviller/ville-57003,6.0,6.1,6.4,5.3,5.1,7.5,7.2,6.7,7.3,8.2,8.0,8.3,7.9
Abrest (03200),/management/ville/abrest/ville-03001,9.0,9.2,9.5,8.7,7.9,10.0,9.9,9.8,10.4,11.1,10.7,11.1,10.7
Abriès (05460),/management/ville/abries/ville-05001,7.5,7.7,7.9,7.9,6.6,7.4,7.4,7.3,8.0,9.0,9.1,9.1,8.5
Abscon (59215),/management/ville/abscon/ville-59002,13.2,13.1,13.3,12.3,11.1,14.6,14.4,13.9,14.5,16.1,15.2,15.5,15.0
Abzac (16500),/management/ville/abzac/ville-16001,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
Accolans (25250),/management/ville/accolans/ville-25005,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Accons (07160),/management/ville/accons/ville-07001,8.4,8.5,8.3,7.6,7.1,8.7,8.7,8.5,9.5,10.2,9.7,10.2,9.9
Accous (64490),/management/ville/accous/ville-64006,6.5,6.1,6.5,5.9,6.1,7.6,6.9,6.7,7.2,7.4,7.3,7.1,6.8
Achain (57340),/management/ville/achain/ville-57004,11.5,12.2,12.7,10.8,9.3,12.8,12.6,11.8,12.3,13.8,13.4,13.5,12.7
Achen (57412),/management/ville/achen/ville-57006,8.0,8.1,8.4,7.5,6.6,9.4,9.1,8.9,9.1,10.3,9.9,9.7,9.2
Achenheim (67204),/management/ville/achenheim/ville-67001,8.0,8.5,9.0,8.1,7.4,9.3,9.5,9.0,9.6,10.3,10.0,10.5,9.9
Achères (18250),/management/ville/acheres/ville-18001,7.9,8.0,8.1,7.3,6.5,8.0,8.6,8.4,9.0,9.9,9.4,10.1,9.8
Achères-la-Forêt (77760),/management/ville/acheres-la-foret/ville-77001,7.1,7.3,7.2,6.0,5.4,6.7,7.0,6.9,7.6,8.2,8.1,8.3,7.9
Achery (02800),/management/ville/achery/ville-02002,11.7,12.2,12.8,11.7,11.2,14.2,14.0,14.2,14.8,15.3,15.1,15.3,14.7
Acheux-en-Amiénois (80560),/management/ville/acheux-en-amienois/ville-80003,10.0,10.0,10.5,10.0,8.9,11.0,11.0,10.7,11.8,12.5,11.9,12.1,11.9
Acheux-en-Vimeu (80210),/management/ville/acheux-en-vimeu/ville-80004,8.1,8.3,8.1,7.3,7.1,11.1,9.7,9.1,9.9,10.8,10.2,10.4,10.4
Acheville (62320),/management/ville/acheville/ville-62003,14.5,14.7,15.7,14.2,13.2,15.8,15.3,15.0,16.1,17.2,16.5,16.5,15.5
Achey (70180),/management/ville/achey/ville-70003,7.0,7.2,7.7,6.8,6.1,8.9,7.9,7.5,8.6,9.6,9.7,10.0,9.4
Achicourt (62217),/management/ville/achicourt/ville-62004,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Achiet-le-Grand (62121),/management/ville/achiet-le-grand/ville-62005,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Achiet-le-Petit (62121),/management/ville/achiet-le-petit/ville-62006,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Achun (58110),/management/ville/achun/ville-58001,6.5,6.7,7.2,6.7,6.1,7.1,7.5,7.6,8.2,8.8,8.5,8.7,8.4
Achy (60690),/management/ville/achy/ville-60004,8.0,8.3,8.4,7.6,6.9,9.3,9.2,8.5,9.3,10.4,10.3,10.5,10.0
Acigné (35690),/management/ville/acigne/ville-35001,6.0,6.1,6.5,5.9,5.0,6.9,6.8,6.6,7.4,8.1,7.9,8.1,7.7
Aclou (27800),/management/ville/aclou/ville-27001,8.8,9.3,9.3,7.5,7.0,9.9,9.3,9.3,10.5,11.5,10.8,11.2,11.0
Acon (27570),/management/ville/acon/ville-27002,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
Acq (62144),/management/ville/acq/ville-62007,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Acqueville (14220),/management/ville/acqueville/ville-14002,8.6,8.8,8.9,8.0,6.8,9.0,9.0,8.9,9.4,10.0,9.7,10.1,9.5
Acquigny (27400),/management/ville/acquigny/ville-27003,9.2,9.2,9.2,8.2,7.3,9.5,9.6,9.4,10.0,10.9,10.6,10.8,10.5
Acquin-Westbécourt (62380),/management/ville/acquin-westbecourt/ville-62008,10.0,11.0,12.2,10.5,10.0,11.4,11.2,11.3,12.3,12.8,12.3,12.7,11.7
Acy (02200),/management/ville/acy/ville-02003,10.7,10.6,11.3,10.1,9.2,11.7,11.8,12.0,13.3,13.9,13.6,13.5,13.2
Acy-en-Multien (60620),/management/ville/acy-en-multien/ville-60005,9.6,9.7,9.5,8.8,7.7,9.4,9.7,9.7,10.3,11.0,10.9,11.2,10.7
Acy-Romance (08300),/management/ville/acy-romance/ville-08001,8.5,9.0,9.4,8.1,7.3,9.4,9.1,9.0,9.9,11.0,10.8,10.9,10.5
Adaincourt (57580),/management/ville/adaincourt/ville-57007,7.4,7.7,8.1,7.5,6.7,9.3,9.2,8.9,9.6,10.5,10.2,10.3,9.7
Adainville (78113),/management/ville/adainville/ville-78006,5.3,5.4,5.4,4.3,3.8,5.0,5.4,5.2,5.5,5.8,5.6,5.8,5.7
Adam-lès-Passavant (25360),/management/ville/adam-les-passavant/ville-25006,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
Adam-lès-Vercel (25530),/management/ville/adam-les-vercel/ville-25007,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
Adamswiller (67320),/management/ville/adamswiller/ville-67002,6.2,6.2,6.5,5.3,4.9,7.0,6.8,6.2,7.1,7.6,7.5,7.8,7.6
Adast (65260),/management/ville/adast/ville-65001,9.1,8.9,9.1,8.4,7.7,9.7,9.9,9.9,10.7,11.5,11.2,11.7,11.2
Adé (65100),/management/ville/ade/ville-65002,9.1,8.9,9.1,8.4,7.7,9.7,9.9,9.9,10.7,11.5,11.2,11.7,11.2
Adelange (57380),/management/ville/adelange/ville-57008,11.5,12.2,12.7,10.8,9.3,12.8,12.6,11.8,12.3,13.8,13.4,13.5,12.7
Adelans-et-le-Val-de-Bithaine (70200),/management/ville/adelans-et-le-val-de-bithaine/ville-70004,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Adervielle-Pouchergues (65240),/management/ville/adervielle-pouchergues/ville-65003,9.1,8.9,9.1,8.4,7.7,9.7,9.9,9.9,10.7,11.5,11.2,11.7,11.2
Adilly (79200),/management/ville/adilly/ville-79002,6.5,6.2,7.2,5.8,5.6,7.7,7.6,6.9,8.0,8.6,8.0,8.9,8.7
Adinfer (62116),/management/ville/adinfer/ville-62009,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Adissan (34230),/management/ville/adissan/ville-34002,14.0,14.8,15.2,13.5,12.4,15.0,15.4,15.4,16.8,18.2,17.5,18.2,17.6
Adon (45230),/management/ville/adon/ville-45001,6.9,6.9,7.3,6.4,6.7,9.6,9.3,9.3,10.2,11.3,10.8,10.9,10.4
Adriers (86430),/management/ville/adriers/ville-86001,6.5,6.8,7.1,6.4,5.8,7.3,7.3,7.2,7.6,8.0,7.7,8.0,7.8
Afa (20167),/management/ville/afa/ville-2A001,8.6,8.3,7.8,7.2,6.8,7.3,8.0,8.3,8.8,9.1,8.6,9.1,8.6
Affieux (19260),/management/ville/affieux/ville-19001,4.7,4.8,4.6,4.0,3.8,5.2,5.1,5.1,5.8,6.6,6.4,6.8,6.8
Affléville (54800),/management/ville/affleville/ville-54004,7.4,7.7,8.1,7.5,6.7,9.3,9.2,8.9,9.6,10.5,10.2,10.3,9.7
Affoux (69170),/management/ville/affoux/ville-69001,7.8,7.9,7.8,7.2,6.2,8.3,8.4,8.1,8.8,9.3,9.1,9.3,8.8
Affracourt (54740),/management/ville/affracourt/ville-54005,7.4,7.6,8.1,7.2,6.5,8.1,8.4,8.2,8.9,9.6,9.2,9.7,9.3
Affringues (62380),/management/ville/affringues/ville-62010,10.0,11.0,12.2,10.5,10.0,11.4,11.2,11.3,12.3,12.8,12.3,12.7,11.7
Agassac (31230),/management/ville/agassac/ville-31001,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
Agde (34300),/management/ville/agde/ville-34003,14.0,14.8,15.2,13.5,12.4,15.0,15.4,15.4,16.8,18.2,17.5,18.2,17.6
Agel (34210),/management/ville/agel/ville-34004,11.4,11.5,11.6,11.2,10.7,13.1,13.3,13.2,14.4,15.2,15.1,15.0,14.5
Agen (47000),/management/ville/agen/ville-47001,8.2,8.1,8.6,7.7,6.9,8.4,8.7,8.2,9.1,9.7,9.4,9.7,9.4
Agen-d'Aveyron (12630),/management/ville/agen-d-aveyron/ville-12001,4.4,4.5,4.7,4.1,4.0,5.3,5.5,5.1,5.7,6.6,6.3,6.4,6.3
Agencourt (21700),/management/ville/agencourt/ville-21001,7.0,7.0,7.0,6.5,5.7,7.3,7.5,7.2,7.8,8.8,8.3,8.8,8.4
Agenville (80370),/management/ville/agenville/ville-80005,10.0,10.0,10.5,10.0,8.9,11.0,11.0,10.7,11.8,12.5,11.9,12.1,11.9
Agenvillers (80150),/management/ville/agenvillers/ville-80006,9.7,9.5,10.5,9.2,8.9,11.0,10.5,10.2,11.3,12.2,11.6,11.9,11.8
Ageville (52340),/management/ville/ageville/ville-52001,7.1,6.8,7.4,6.2,5.5,8.1,7.2,6.8,7.2,7.9,7.4,7.6,7.2
Agey (21410),/management/ville/agey/ville-21002,7.0,7.0,7.0,6.5,5.7,7.3,7.5,7.2,7.8,8.8,8.3,8.8,8.4
Aghione (20270),/management/ville/aghione/ville-2B002,9.7,9.9,9.9,9.5,8.1,8.4,9.6,10.1,10.7,11.6,11.1,11.6,11.5
Agincourt (54770),/management/ville/agincourt/ville-54006,7.4,7.6,8.1,7.2,6.5,8.1,8.4,8.2,8.9,9.6,9.2,9.7,9.3
Agmé (47350),/management/ville/agme/ville-47002,8.3,7.9,8.3,7.2,6.9,8.8,9.0,8.8,9.4,10.1,9.7,10.0,10.0
Agnac (47800),/management/ville/agnac/ville-47003,8.3,7.9,8.3,7.2,6.9,8.8,9.0,8.8,9.4,10.1,9.7,10.0,10.0
Agnat (43100),/management/ville/agnat/ville-43001,7.2,7.3,7.6,7.4,6.6,8.2,7.4,7.7,9.0,9.5,9.2,9.1,8.8
Agneaux (50180),/management/ville/agneaux/ville-50002,5.5,5.8,6.1,5.8,5.0,6.8,6.6,6.6,6.9,7.6,7.2,7.6,7.5
Agnetz (60600),/management/ville/agnetz/ville-60007,9.6,9.7,9.5,8.8,7.7,9.4,9.7,9.7,10.3,11.0,10.9,11.2,10.7
Agnez-lès-Duisans (62161),/management/ville/agnez-les-duisans/ville-62011,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Agnicourt-et-Séchelles (02340),/management/ville/agnicourt-et-sechelles/ville-02004,9.2,9.5,9.7,9.0,8.6,10.5,11.2,11.3,12.4,13.3,12.4,12.8,12.5
Agnières (62690),/management/ville/agnieres/ville-62012,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Agnin (38150),/management/ville/agnin/ville-38003,7.1,7.3,7.5,6.7,6.0,8.2,7.9,7.8,8.3,9.0,8.7,8.8,8.5
Agnos (64400),/management/ville/agnos/ville-64007,6.5,6.1,6.5,5.9,6.1,7.6,6.9,6.7,7.2,7.4,7.3,7.1,6.8
Agny (62217),/management/ville/agny/ville-62013,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Agon-Coutainville (50230),/management/ville/agon-coutainville/ville-50003,6.7,7.2,7.0,6.9,6.3,8.2,8.0,7.8,8.2,9.0,8.6,8.8,8.4
Agonac (24460),/management/ville/agonac/ville-24002,7.4,7.6,7.7,7.1,6.5,8.2,8.4,8.7,9.7,10.1,10.0,10.5,9.9
Agonès (34190),/management/ville/agones/ville-34005,12.7,12.2,13.1,12.3,11.4,12.4,12.0,11.8,12.3,13.3,13.3,14.1,13.3
Agonges (03210),/management/ville/agonges/ville-03002,6.5,6.8,7.0,6.3,5.7,7.5,7.7,7.7,8.3,8.7,8.4,9.0,8.7
Agos-Vidalos (65400),/management/ville/agos-vidalos/ville-65004,9.1,8.9,9.1,8.4,7.7,9.7,9.9,9.9,10.7,11.5,11.2,11.7,11.2
Agris (16110),/management/ville/agris/ville-16003,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
