ville,lien,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Breteau (45250),/management/ville/breteau/ville-45052,6.9,6.9,7.3,6.4,6.7,9.6,9.3,9.3,10.2,11.3,10.8,10.9,10.4
Breteil (35160),/management/ville/breteil/ville-35040,6.0,6.1,6.5,5.9,5.0,6.9,6.8,6.6,7.4,8.1,7.9,8.1,7.7
Bretenière (21110),/management/ville/breteniere/ville-21106,7.0,7.0,7.0,6.5,5.7,7.3,7.5,7.2,7.8,8.8,8.3,8.8,8.4
Bretenières (39120),/management/ville/bretenieres/ville-39077,7.0,7.2,7.7,6.6,6.5,9.0,8.4,7.8,8.4,9.2,8.7,9.2,8.7
Bretenoux (46130),/management/ville/bretenoux/ville-46038,6.4,6.3,6.5,5.8,5.4,7.3,6.9,7.2,8.3,9.3,8.8,9.1,9.0
Breteuil (27160),/management/ville/breteuil/ville-27112,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
Brethel (61270),/management/ville/brethel/ville-61060,7.8,8.4,8.5,7.8,7.7,10.9,10.2,9.5,10.0,10.5,10.2,10.3,9.4
Brethenay (52000),/management/ville/brethenay/ville-52072,7.1,6.8,7.4,6.2,5.5,8.1,7.2,6.8,7.2,7.9,7.4,7.6,7.2
Bretigney (25250),/management/ville/bretigney/ville-25093,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Bretigney-Notre-Dame (25110),/management/ville/bretigney-notre-dame/ville-25094,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
Bretignolles (79140),/management/ville/bretignolles/ville-79050,5.6,5.0,6.2,4.6,4.3,6.6,6.2,5.7,6.4,7.3,7.0,7.4,7.3
Bretignolles-sur-Mer (85470),/management/ville/bretignolles-sur-mer/ville-85035,7.3,8.1,8.3,7.1,6.4,9.3,9.2,8.4,9.1,10.4,10.0,10.2,9.2
Bretigny (21490),/management/ville/bretigny/ville-21107,7.0,7.0,7.0,6.5,5.7,7.3,7.5,7.2,7.8,8.8,8.3,8.8,8.4
Brétigny (27800),/management/ville/bretigny/ville-27113,8.8,9.3,9.3,7.5,7.0,9.9,9.3,9.3,10.5,11.5,10.8,11.2,11.0
Brétigny-sur-Orge (91220),/management/ville/bretigny-sur-orge/ville-91103,5.9,5.8,5.6,4.9,4.3,5.4,5.8,5.6,5.9,6.4,6.4,6.5,6.4
Bretoncelles (61110),/management/ville/bretoncelles/ville-61061,7.2,7.3,6.8,5.8,5.9,8.6,7.5,7.3,8.1,8.8,9.1,8.9,9.0
Bretonvillers (25380),/management/ville/bretonvillers/ville-25095,6.9,7.2,7.4,6.8,6.2,8.2,8.1,7.4,7.8,8.4,8.1,8.5,8.1
Brette (26340),/management/ville/brette/ville-26062,8.4,8.5,8.3,7.6,7.1,8.7,8.7,8.5,9.5,10.2,9.7,10.2,9.9
Brette-les-Pins (72250),/management/ville/brette-les-pins/ville-72047,7.0,7.4,7.9,7.0,6.3,8.8,8.8,8.4,9.0,10.1,9.9,10.4,9.9
Bretten (68780),/management/ville/bretten/ville-68052,8.4,9.2,10.3,9.4,8.0,10.2,10.0,9.7,10.8,11.7,11.3,11.6,11.1
Brettes (16240),/management/ville/brettes/ville-16059,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
Bretteville (50110),/management/ville/bretteville/ville-50077,9.3,9.6,9.8,8.9,7.8,9.6,9.2,9.1,9.3,9.7,9.5,9.5,8.8
Bretteville-du-Grand-Caux (76110),/management/ville/bretteville-du-grand-caux/ville-76143,10.7,10.7,10.8,9.9,8.9,11.5,11.6,11.3,12.0,12.8,12.3,12.4,12.6
Bretteville-le-Rabet (14190),/management/ville/bretteville-le-rabet/ville-14097,8.6,8.8,8.9,8.0,6.8,9.0,9.0,8.9,9.4,10.0,9.7,10.1,9.5
Bretteville-Saint-Laurent (76560),/management/ville/bretteville-saint-laurent/ville-76144,9.2,9.2,9.2,8.2,7.3,9.5,9.6,9.4,10.0,10.9,10.6,10.8,10.5
Bretteville-sur-Ay (50430),/management/ville/bretteville-sur-ay/ville-50078,6.7,7.2,7.0,6.9,6.3,8.2,8.0,7.8,8.2,9.0,8.6,8.8,8.4
Bretteville-sur-Laize (14680),/management/ville/bretteville-sur-laize/ville-14100,8.6,8.8,8.9,8.0,6.8,9.0,9.0,8.9,9.4,10.0,9.7,10.1,9.5
Bretteville-sur-Odon (14760),/management/ville/bretteville-sur-odon/ville-14101,8.6,8.8,8.9,8.0,6.8,9.0,9.0,8.9,9.4,10.0,9.7,10.1,9.5
Brettnach (57320),/management/ville/brettnach/ville-57110,7.4,7.7,8.1,7.5,6.7,9.3,9.2,8.9,9.6,10.5,10.2,10.3,9.7
Bretx (31530),/management/ville/bretx/ville-31089,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
Breuches (70300),/management/ville/breuches/ville-70093,6.7,7.4,8.0,7.1,6.6,9.2,8.5,7.9,9.0,10.0,9.8,9.7,8.7
Breuchotte (70280),/management/ville/breuchotte/ville-70094,6.7,7.4,8.0,7.1,6.6,9.2,8.5,7.9,9.0,10.0,9.8,9.7,8.7
Breugnon (58460),/management/ville/breugnon/ville-58038,7.7,7.8,8.0,7.2,6.3,8.2,8.9,8.7,9.3,9.7,9.4,9.6,9.3
Breuil (51140),/management/ville/breuil/ville-51086,8.5,9.0,9.4,8.1,7.3,9.4,9.1,9.0,9.9,11.0,10.8,10.9,10.5
Breuil-Barret (85120),/management/ville/breuil-barret/ville-85037,7.2,7.0,7.1,6.3,5.8,8.3,8.2,8.0,9.0,10.1,9.6,9.7,9.0
Breuil-Bois-Robert (78930),/management/ville/breuil-bois-robert/ville-78104,9.3,8.9,9.2,8.8,7.9,9.7,9.8,9.6,10.6,11.2,11.3,11.6,11.2
Breuil-la-Réorte (17700),/management/ville/breuil-la-reorte/ville-17063,9.6,9.5,9.4,8.6,7.9,9.7,9.4,9.0,9.7,10.7,10.4,10.9,10.2
Breuil-le-Sec (60840),/management/ville/breuil-le-sec/ville-60106,9.6,9.7,9.5,8.8,7.7,9.4,9.7,9.7,10.3,11.0,10.9,11.2,10.7
Breuil-le-Vert (60600),/management/ville/breuil-le-vert/ville-60107,9.6,9.7,9.5,8.8,7.7,9.4,9.7,9.7,10.3,11.0,10.9,11.2,10.7
Breuil-Magné (17870),/management/ville/breuil-magne/ville-17065,10.6,10.8,11.0,9.5,8.6,11.1,11.1,10.5,11.1,12.2,11.8,12.1,11.4
Breuilaufa (87300),/management/ville/breuilaufa/ville-87022,6.8,7.0,7.4,6.9,6.3,8.2,8.4,8.5,9.2,9.8,9.5,10.0,9.6
Breuillet (17920),/management/ville/breuillet/ville-17064,10.4,10.5,10.6,9.5,8.4,10.4,10.4,10.2,10.8,12.0,11.4,12.1,11.3
Breuilpont (27640),/management/ville/breuilpont/ville-27114,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
Breurey-lès-Faverney (70160),/management/ville/breurey-les-faverney/ville-70095,6.7,7.4,8.0,7.1,6.6,9.2,8.5,7.9,9.0,10.0,9.8,9.7,8.7
Breuschwickersheim (67112),/management/ville/breuschwickersheim/ville-67065,8.0,8.5,9.0,8.1,7.4,9.3,9.5,9.0,9.6,10.3,10.0,10.5,9.9
Breuvannes-en-Bassigny (52240),/management/ville/breuvannes-en-bassigny/ville-52074,7.1,6.8,7.4,6.2,5.5,8.1,7.2,6.8,7.2,7.9,7.4,7.6,7.2
Breuvery-sur-Coole (51240),/management/ville/breuvery-sur-coole/ville-51087,6.1,6.5,6.9,6.4,5.9,7.8,7.3,7.4,8.3,9.4,8.9,9.0,8.4
Breuville (50260),/management/ville/breuville/ville-50079,9.3,9.6,9.8,8.9,7.8,9.6,9.2,9.1,9.3,9.7,9.5,9.5,8.8
Breux (55600),/management/ville/breux/ville-55077,8.2,8.2,8.5,8.0,6.9,9.5,9.5,8.9,9.9,10.9,10.6,10.7,9.8
Breux-Jouy (91650),/management/ville/breux-jouy/ville-91106,5.9,5.8,5.6,4.9,4.3,5.4,5.8,5.6,5.9,6.4,6.4,6.5,6.4
Breux-sur-Avre (27570),/management/ville/breux-sur-avre/ville-27115,7.8,8.0,8.4,7.7,7.0,8.9,9.1,8.9,9.7,10.6,10.2,10.3,10.1
Brévainville (41160),/management/ville/brevainville/ville-41026,7.7,7.8,7.7,6.4,7.1,9.3,9.0,8.3,9.5,9.9,10.0,10.1,10.0
Bréval (78980),/management/ville/breval/ville-78107,9.3,8.9,9.2,8.8,7.9,9.7,9.8,9.6,10.6,11.2,11.3,11.6,11.2
Brevans (39100),/management/ville/brevans/ville-39078,7.0,7.2,7.7,6.6,6.5,9.0,8.4,7.8,8.4,9.2,8.7,9.2,8.7
Brèves (58530),/management/ville/breves/ville-58039,7.7,7.8,8.0,7.2,6.3,8.2,8.9,8.7,9.3,9.7,9.4,9.6,9.3
Bréviandes (10450),/management/ville/breviandes/ville-10060,9.0,9.0,9.6,8.3,7.7,9.2,9.1,9.5,10.5,11.8,11.8,12.7,12.3
Bréville (16370),/management/ville/breville/ville-16060,7.3,7.3,7.4,6.5,6.2,8.7,8.4,7.8,8.4,9.0,8.8,8.5,8.1
Bréville-les-Monts (14860),/management/ville/breville-les-monts/ville-14106,8.6,8.8,8.9,8.0,6.8,9.0,9.0,8.9,9.4,10.0,9.7,10.1,9.5
Bréville-sur-Mer (50290),/management/ville/breville-sur-mer/ville-50081,7.7,7.4,7.6,7.4,6.1,8.9,8.4,8.2,8.1,9.0,8.9,8.9,8.4
Brévillers (62140),/management/ville/brevillers/ville-62175,7.2,7.2,7.7,6.8,6.7,8.5,8.3,8.4,9.4,10.0,9.8,10.1,9.4
Brevilliers (70400),/management/ville/brevilliers/ville-70096,9.4,9.5,10.8,9.4,8.3,11.6,11.2,10.2,11.2,12.5,12.2,12.3,11.3
Brévilly (08140),/management/ville/brevilly/ville-08083,12.2,12.0,13.1,11.2,10.2,13.0,11.5,11.0,12.3,13.4,12.8,13.4,12.5
Brévonnes (10220),/management/ville/brevonnes/ville-10061,9.0,9.0,9.6,8.3,7.7,9.2,9.1,9.5,10.5,11.8,11.8,12.7,12.3
Bréxent-Énocq (62170),/management/ville/brexent-enocq/ville-62176,7.2,7.2,7.7,6.8,6.7,8.5,8.3,8.4,9.4,10.0,9.8,10.1,9.4
Brey-et-Maison-du-Bois (25240),/management/ville/brey-et-maison-du-bois/ville-25096,5.8,5.8,5.8,5.1,4.5,6.9,6.8,5.6,6.3,6.9,6.8,7.3,7.0
Brézé (49260),/management/ville/breze/ville-49046,8.5,8.3,9.1,8.1,7.2,9.6,9.3,9.0,9.8,10.5,10.4,10.7,10.3
Bréziers (05190),/management/ville/breziers/ville-05022,7.1,7.4,7.3,7.1,6.4,7.4,7.4,7.8,8.5,9.1,8.9,9.2,8.7
Brézilhac (11270),/management/ville/brezilhac/ville-11051,9.5,9.5,9.9,9.5,8.7,10.2,10.6,10.9,12.8,13.3,13.2,13.6,11.9
Brézins (38590),/management/ville/brezins/ville-38058,7.4,7.3,7.2,6.6,5.9,7.9,7.5,7.3,7.6,8.1,7.9,8.4,8.0
Brezolles (28270),/management/ville/brezolles/ville-28059,10.5,10.3,10.5,10.0,8.6,11.0,11.5,11.3,11.8,12.5,12.3,12.5,12.1
Brezons (15230),/management/ville/brezons/ville-15026,5.6,5.4,5.8,5.5,4.9,5.8,5.5,5.5,6.2,6.8,6.3,6.1,5.4
Briançon (05100),/management/ville/briancon/ville-05023,7.5,7.7,7.9,7.9,6.6,7.4,7.4,7.3,8.0,9.0,9.1,9.1,8.5
Briançonnet (06850),/management/ville/brianconnet/ville-06024,8.1,8.1,8.0,7.3,6.5,8.2,8.2,8.3,9.2,10.2,10.3,10.9,10.3
Brianny (21390),/management/ville/brianny/ville-21108,6.6,6.5,6.8,6.5,5.6,7.6,7.5,7.1,7.7,8.4,8.1,8.8,8.7
Briant (71110),/management/ville/briant/ville-71060,6.9,7.0,7.2,6.2,5.5,8.3,8.2,7.7,8.1,8.2,7.9,7.9,7.7
Briantes (36400),/management/ville/briantes/ville-36025,7.5,7.9,8.2,6.6,5.9,7.8,8.0,7.7,8.6,9.3,9.4,9.7,9.6
Briare (45250),/management/ville/briare/ville-45053,6.9,6.9,7.3,6.4,6.7,9.6,9.3,9.3,10.2,11.3,10.8,10.9,10.4
Briarres-sur-Essonne (45390),/management/ville/briarres-sur-essonne/ville-45054,6.0,6.2,6.5,6.2,5.2,7.2,7.5,7.4,8.5,9.2,9.2,9.5,9.7
Brias (62130),/management/ville/brias/ville-62180,7.3,7.5,8.0,7.3,6.8,8.6,8.6,8.6,9.2,9.7,9.3,9.4,8.9
Briastre (59730),/management/ville/briastre/ville-59108,9.4,9.7,10.5,9.5,9.3,11.6,11.3,11.2,11.9,13.0,12.4,12.7,12.3
Briatexte (81390),/management/ville/briatexte/ville-81039,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
Briaucourt (52700),/management/ville/briaucourt/ville-52075,7.1,6.8,7.4,6.2,5.5,8.1,7.2,6.8,7.2,7.9,7.4,7.6,7.2
Bricon (52120),/management/ville/bricon/ville-52076,7.1,6.8,7.4,6.2,5.5,8.1,7.2,6.8,7.2,7.9,7.4,7.6,7.2
Briconville (28300),/management/ville/briconville/ville-28060,6.8,7.2,6.9,5.9,5.1,7.2,7.4,7.2,7.9,8.6,8.5,8.7,8.3
Bricquebec-en-Cotentin (50260),/management/ville/bricquebec-en-cotentin/ville-50082,9.3,9.6,9.8,8.9,7.8,9.6,9.2,9.1,9.3,9.7,9.5,9.5,8.8
Bricquebosq (50340),/management/ville/bricquebosq/ville-50083,9.3,9.6,9.8,8.9,7.8,9.6,9.2,9.1,9.3,9.7,9.5,9.5,8.8
Bricqueville (14710),/management/ville/bricqueville/ville-14107,7.4,7.5,8.3,7.2,6.3,8.2,7.8,7.9,8.9,9.2,8.9,9.4,8.7
Bricqueville-la-Blouette (50200),/management/ville/bricqueville-la-blouette/ville-50084,6.7,7.2,7.0,6.9,6.3,8.2,8.0,7.8,8.2,9.0,8.6,8.8,8.4
Bricqueville-sur-Mer (50290),/management/ville/bricqueville-sur-mer/ville-50085,7.7,7.4,7.6,7.4,6.1,8.9,8.4,8.2,8.1,9.0,8.9,8.9,8.4
Bricy (45310),/management/ville/bricy/ville-45055,6.2,6.3,6.4,5.9,5.3,7.2,7.5,7.2,7.9,8.6,8.7,9.1,8.7
Brides-les-Bains (73570),/management/ville/brides-les-bains/ville-73057,6.8,6.6,6.7,6.4,5.4,7.8,7.8,7.2,7.7,8.1,8.3,8.2,7.5
Bridoré (37600),/management/ville/bridore/ville-37039,6.8,6.8,6.9,6.2,5.7,7.3,7.2,7.6,8.5,8.9,8.7,9.3,8.7
Brie (02870),/management/ville/brie/ville-02122,9.2,9.5,9.7,9.0,8.6,10.5,11.2,11.3,12.4,13.3,12.4,12.8,12.5
Brie-Comte-Robert (77170),/management/ville/brie-comte-robert/ville-77053,6.8,6.8,6.6,6.0,5.1,6.3,6.6,6.7,7.2,7.8,7.8,8.0,7.8
Brié-et-Angonnes (38320),/management/ville/brie-et-angonnes/ville-38059,7.4,7.3,7.2,6.6,5.9,7.9,7.5,7.3,7.6,8.1,7.9,8.4,8.0
Brie-sous-Archiac (17520),/management/ville/brie-sous-archiac/ville-17066,8.0,8.1,8.5,7.3,6.4,7.9,8.4,8.3,9.1,9.6,9.0,9.8,9.7
Brie-sous-Barbezieux (16300),/management/ville/brie-sous-barbezieux/ville-16062,8.0,8.1,8.5,7.3,6.4,7.9,8.4,8.3,9.1,9.6,9.0,9.8,9.7
Brie-sous-Chalais (16210),/management/ville/brie-sous-chalais/ville-16063,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
Brie-sous-Matha (17160),/management/ville/brie-sous-matha/ville-17067,7.3,7.3,7.4,6.5,6.2,8.7,8.4,7.8,8.4,9.0,8.8,8.5,8.1
Brie-sous-Mortagne (17120),/management/ville/brie-sous-mortagne/ville-17068,10.4,10.5,10.6,9.5,8.4,10.4,10.4,10.2,10.8,12.0,11.4,12.1,11.3
Briec (29510),/management/ville/briec/ville-29020,7.4,7.5,7.7,6.9,6.3,7.7,7.8,7.6,8.6,9.4,9.2,9.3,8.8
Briel-sur-Barse (10140),/management/ville/briel-sur-barse/ville-10062,9.0,9.0,9.6,8.3,7.7,9.2,9.1,9.5,10.5,11.8,11.8,12.7,12.3
Brielles (35370),/management/ville/brielles/ville-35042,4.3,4.4,4.6,3.9,3.6,5.3,5.0,4.4,5.0,5.9,5.4,5.6,5.4
Brienne (71290),/management/ville/brienne/ville-71061,7.6,7.4,7.7,6.9,6.2,8.2,8.5,8.3,9.1,9.5,9.0,9.4,9.2
Brienne-la-Vieille (10500),/management/ville/brienne-la-vieille/ville-10063,9.0,9.0,9.6,8.3,7.7,9.2,9.1,9.5,10.5,11.8,11.8,12.7,12.3
Brienne-le-Château (10500),/management/ville/brienne-le-chateau/ville-10064,9.0,9.0,9.6,8.3,7.7,9.2,9.1,9.5,10.5,11.8,11.8,12.7,12.3
Brienne-sur-Aisne (08190),/management/ville/brienne-sur-aisne/ville-08084,8.5,9.0,9.4,8.1,7.3,9.4,9.1,9.0,9.9,11.0,10.8,10.9,10.5
Briennon (42720),/management/ville/briennon/ville-42026,8.7,8.5,8.4,7.9,7.2,9.5,9.2,8.7,9.5,10.3,9.8,10.1,9.6
Brienon-sur-Armançon (89210),/management/ville/brienon-sur-armancon/ville-89055,7.4,7.5,7.8,7.0,6.3,8.6,8.5,8.3,9.0,9.6,9.2,9.6,9.2
Brières-les-Scellés (91150),/management/ville/brieres-les-scelles/ville-91109,6.2,6.3,6.3,5.2,4.8,6.0,6.6,6.4,6.9,7.6,7.4,7.6,7.3
Brieuil-sur-Chizé (79170),/management/ville/brieuil-sur-chize/ville-79055,6.2,6.1,6.5,5.9,5.3,6.8,7.1,6.6,7.3,7.8,7.6,8.1,7.6
Brieulles-sur-Bar (08240),/management/ville/brieulles-sur-bar/ville-08085,12.2,12.0,13.1,11.2,10.2,13.0,11.5,11.0,12.3,13.4,12.8,13.4,12.5
Brieulles-sur-Meuse (55110),/management/ville/brieulles-sur-meuse/ville-55078,8.3,8.9,9.9,9.1,8.4,10.6,10.2,10.3,11.1,11.9,11.2,11.3,10.6
Brieux (61160),/management/ville/brieux/ville-61062,9.9,10.1,9.0,8.3,7.8,10.1,9.1,9.1,9.4,10.0,9.3,9.5,9.1
Briffons (63820),/management/ville/briffons/ville-63053,7.1,7.2,7.3,7.0,6.4,8.1,8.1,7.8,8.2,8.6,8.4,8.7,8.3
Brignac (34800),/management/ville/brignac/ville-34041,11.7,12.4,11.8,11.1,10.3,12.3,12.1,12.4,13.5,14.6,14.3,14.2,13.3
Brignac-la-Plaine (19310),/management/ville/brignac-la-plaine/ville-19030,6.4,6.3,6.5,5.8,5.4,7.3,6.9,7.2,8.3,9.3,8.8,9.1,9.0
Brignais (69530),/management/ville/brignais/ville-69027,7.8,7.9,7.8,7.2,6.2,8.3,8.4,8.1,8.8,9.3,9.1,9.3,8.8
Brignancourt (95640),/management/ville/brignancourt/ville-95110,7.5,7.6,7.3,6.7,5.8,7.4,7.7,7.7,8.2,8.9,8.8,9.0,8.7
Brignemont (31480),/management/ville/brignemont/ville-31090,8.8,8.8,8.9,8.2,7.2,8.8,8.9,8.8,9.5,10.2,10.2,10.4,9.8
Brignoles (83170),/management/ville/brignoles/ville-83023,10.4,10.3,10.1,9.3,8.3,9.9,9.7,9.9,10.4,10.8,10.8,11.1,10.3
Brignon (30190),/management/ville/brignon/ville-30053,12.1,11.9,12.4,11.6,10.3,11.9,12.1,11.9,12.7,13.9,13.8,14.2,13.3
Brigueil-le-Chantre (86290),/management/ville/brigueil-le-chantre/ville-86037,6.5,6.8,7.1,6.4,5.8,7.3,7.3,7.2,7.6,8.0,7.7,8.0,7.8
Brigueuil (16420),/management/ville/brigueuil/ville-16064,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
Briis-sous-Forges (91640),/management/ville/briis-sous-forges/ville-91111,5.9,5.8,5.6,4.9,4.3,5.4,5.8,5.6,5.9,6.4,6.4,6.5,6.4
Brillac (16500),/management/ville/brillac/ville-16065,8.4,8.6,8.8,8.2,7.6,9.4,9.1,9.2,10.3,10.9,10.3,10.6,10.1
Brillecourt (10240),/management/ville/brillecourt/ville-10065,9.0,9.0,9.6,8.3,7.7,9.2,9.1,9.5,10.5,11.8,11.8,12.7,12.3
Brillevast (50330),/management/ville/brillevast/ville-50086,9.3,9.6,9.8,8.9,7.8,9.6,9.2,9.1,9.3,9.7,9.5,9.5,8.8
Brillon (59178),/management/ville/brillon/ville-59109,13.2,13.1,13.3,12.3,11.1,14.6,14.4,13.9,14.5,16.1,15.2,15.5,15.0
Brillon-en-Barrois (55000),/management/ville/brillon-en-barrois/ville-55079,7.0,7.2,8.0,7.4,6.6,8.3,8.5,7.7,8.9,8.9,8.5,8.7,8.1
Brimeux (62170),/management/ville/brimeux/ville-62177,7.2,7.2,7.7,6.8,6.7,8.5,8.3,8.4,9.4,10.0,9.8,10.1,9.4
Brimont (51220),/management/ville/brimont/ville-51088,8.5,9.0,9.4,8.1,7.3,9.4,9.1,9.0,9.9,11.0,10.8,10.9,10.5
Brin-sur-Seille (54280),/management/ville/brin-sur-seille/ville-54100,7.4,7.6,8.1,7.2,6.5,8.1,8.4,8.2,8.9,9.6,9.2,9.7,9.3
Brinay (18120),/management/ville/brinay/ville-18036,11.0,10.8,10.1,8.6,8.3,11.4,11.5,11.3,12.4,13.4,13.2,13.6,13.5
Brinckheim (68870),/management/ville/brinckheim/ville-68054,5.8,6.4,6.8,6.0,5.0,6.4,6.5,6.0,6.7,7.3,7.4,7.7,7.7
Brindas (69126),/management/ville/brindas/ville-69028,7.8,7.9,7.8,7.2,6.2,8.3,8.4,8.1,8.8,9.3,9.1,9.3,8.8
Bringolo (22170),/management/ville/bringolo/ville-22019,6.5,6.7,7.0,6.3,5.7,7.3,7.4,7.3,8.0,8.8,8.7,9.0,8.7
Brinon-sur-Beuvron (58420),/management/ville/brinon-sur-beuvron/ville-58041,6.5,6.7,7.2,6.7,6.1,7.1,7.5,7.6,8.2,8.8,8.5,8.7,8.4
Brinon-sur-Sauldre (18410),/management/ville/brinon-sur-sauldre/ville-18037,6.2,6.3,6.4,5.9,5.3,7.2,7.5,7.2,7.9,8.6,8.7,9.1,8.7
Briod (39570),/management/ville/briod/ville-39079,5.5,5.7,6.0,5.2,5.0,6.8,6.7,5.9,6.1,6.7,6.4,6.8,6.6
Briollay (49125),/management/ville/briollay/ville-49048,8.2,8.1,8.3,7.7,6.7,8.8,8.6,8.4,9.1,10.0,9.9,10.5,10.0
Brion (01460),/management/ville/brion/ville-01063,7.4,7.6,7.5,7.0,7.0,11.4,9.4,8.2,9.0,9.5,8.8,9.5,9.6
Brion-près-Thouet (79290),/management/ville/brion-pres-thouet/ville-79056,7.1,6.8,7.5,6.2,5.9,7.8,7.6,7.3,8.1,8.6,8.4,8.7,8.4
Brion-sur-Ource (21570),/management/ville/brion-sur-ource/ville-21109,6.1,6.5,7.5,6.4,6.0,7.9,8.6,8.3,9.1,10.0,9.4,9.8,9.9
Brionne (27800),/management/ville/brionne/ville-27116,8.8,9.3,9.3,7.5,7.0,9.9,9.3,9.3,10.5,11.5,10.8,11.2,11.0
Briord (01470),/management/ville/briord/ville-01064,6.0,6.0,6.0,5.1,4.9,7.1,7.3,6.7,7.4,7.7,7.3,7.8,7.4
Briosne-lès-Sables (72110),/management/ville/briosne-les-sables/ville-72048,7.0,7.4,7.9,7.0,6.3,8.8,8.8,8.4,9.0,10.1,9.9,10.4,9.9
Briot (60210),/management/ville/briot/ville-60108,8.0,8.3,8.4,7.6,6.9,9.3,9.2,8.5,9.3,10.4,10.3,10.5,10.0
Briou (41370),/management/ville/briou/ville-41027,6.2,6.3,6.4,5.9,5.3,7.2,7.5,7.2,7.9,8.6,8.7,9.1,8.7
Brioude (43100),/management/ville/brioude/ville-43040,7.2,7.3,7.6,7.4,6.6,8.2,7.4,7.7,9.0,9.5,9.2,9.1,8.8
Brioux-sur-Boutonne (79170),/management/ville/brioux-sur-boutonne/ville-79057,6.2,6.1,6.5,5.9,5.3,6.8,7.1,6.6,7.3,7.8,7.6,8.1,7.6
Briouze (61220),/management/ville/briouze/ville-61063,7.0,7.5,7.9,7.0,6.0,8.7,8.9,8.3,8.5,9.2,9.0,9.3,9.3
Briquemesnil-Floxicourt (80540),/management/ville/briquemesnil-floxicourt/ville-80142,10.0,10.0,10.5,10.0,8.9,11.0,11.0,10.7,11.8,12.5,11.9,12.1,11.9
Briquenay (08240),/management/ville/briquenay/ville-08086,12.2,12.0,13.1,11.2,10.2,13.0,11.5,11.0,12.3,13.4,12.8,13.4,12.5
Briscous (64240),/management/ville/briscous/ville-64147,7.6,7.6,7.3,7.0,6.3,8.0,7.9,7.9,8.7,9.2,8.8,9.2,8.7
Brison-Saint-Innocent (73100),/management/ville/brison-saint-innocent/ville-73059,6.8,6.6,6.4,5.9,5.4,7.4,7.7,7.2,7.5,8.0,7.9,8.3,7.8
Brissac (34190),/management/ville/brissac/ville-34042,12.7,12.2,13.1,12.3,11.4,12.4,12.0,11.8,12.3,13.3,13.3,14.1,13.3
Brissay-Choigny (02240),/management/ville/brissay-choigny/ville-02123,11.7,12.2,12.8,11.7,11.2,14.2,14.0,14.2,14.8,15.3,15.1,15.3,14.7
Brissy-Hamégicourt (02240),/management/ville/brissy-hamegicourt/ville-02124,11.7,12.2,12.8,11.7,11.2,14.2,14.0,14.2,14.8,15.3,15.1,15.3,14.7
Brive-la-Gaillarde (19100),/management/ville/brive-la-gaillarde/ville-19031,6.4,6.3,6.5,5.8,5.4,7.3,6.9,7.2,8.3,9.3,8.8,9.1,9.0
Brives (36100),/management/ville/brives/ville-36027,7.5,7.9,8.2,6.6,5.9,7.8,8.0,7.7,8.6,9.3,9.4,9.7,9.6
Brives-Charensac (43700),/management/ville/brives-charensac/ville-43041,6.8,6.6,7.1,6.6,5.8,6.9,7.0,6.8,7.5,8.4,8.4,8.5,8.4
Brives-sur-Charente (17800),/management/ville/brives-sur-charente/ville-17069,7.3,7.3,7.4,6.5,6.2,8.7,8.4,7.8,8.4,9.0,8.8,8.5,8.1
Brivezac (19120),/management/ville/brivezac/ville-19032,6.4,6.3,6.5,5.8,5.4,7.3,6.9,7.2,8.3,9.3,8.8,9.1,9.0
Brix (50700),/management/ville/brix/ville-50087,9.3,9.6,9.8,8.9,7.8,9.6,9.2,9.1,9.3,9.7,9.5,9.5,8.8
Brixey-aux-Chanoines (55140),/management/ville/brixey-aux-chanoines/ville-55080,8.5,9.6,10.0,9.7,8.5,10.2,10.6,10.1,11.1,12.1,11.3,11.7,11.1
Brizambourg (17770),/management/ville/brizambourg/ville-17070,8.4,8.7,9.0,8.2,7.6,9.4,9.8,9.5,10.2,10.6,10.3,11.0,10.3
Brizay (37220),/management/ville/brizay/ville-37040,7.6,7.5,7.5,6.8,6.2,7.8,8.0,7.6,8.3,9.2,9.0,9.4,9.1
Brizeaux (55250),/management/ville/brizeaux/ville-55081,7.0,7.2,8.0,7.4,6.6,8.3,8.5,7.7,8.9,8.9,8.5,8.7,8.1
Brizon (74130),/management/ville/brizon/ville-74049,5.3,5.4,5.4,5.0,4.7,7.2,7.3,6.5,7.0,7.5,7.4,7.8,7.5
